date,Day Ahead Auction (DE-LU),"Wind onshore forecast (Day-Ahead, D-1 18:00)","Wind offshore forecast (Day-Ahead, D-1 18:00)","Load forecast (Day-Ahead, D-1 12:00)","Solar forecast (Day-Ahead, D-1 18:00)"
2019-12-31 23:00:00+00:00,41.88,5781.075,723.675,45471.675,0.0
2020-01-01 00:00:00+00:00,38.6,5859.2,1037.975,43471.35,0.0
2020-01-01 01:00:00+00:00,36.55,5987.424999999999,1492.175,42555.475,0.0
2020-01-01 02:00:00+00:00,32.32,6058.725,1893.725,42448.2,0.0
2020-01-01 03:00:00+00:00,30.85,5973.325000000001,2091.575,42568.1,0.0
2020-01-01 04:00:00+00:00,30.14,5659.175,2109.4,42208.8,0.0
2020-01-01 05:00:00+00:00,30.17,5422.925,2033.35,40675.175,0.0
2020-01-01 06:00:00+00:00,30.0,5240.375,2005.1,41920.65,0.0
2020-01-01 07:00:00+00:00,30.65,5118.4,2108.9,44545.45,328.70000000000005
2020-01-01 08:00:00+00:00,30.65,5011.625,2270.025,47357.1,2703.35
2020-01-01 09:00:00+00:00,30.27,4731.325,2496.825,49264.0,5784.25
2020-01-01 10:00:00+00:00,30.34,4320.075000000001,2820.175,51059.15,8050.05
2020-01-01 11:00:00+00:00,30.99,3991.7,3155.125,51057.275,8945.5
2020-01-01 12:00:00+00:00,30.04,3945.6,3396.95,49680.125,8175.75
2020-01-01 13:00:00+00:00,30.75,4292.45,3550.425,48677.525,5655.8
2020-01-01 14:00:00+00:00,32.11,4816.475,3705.5,48705.8,2147.55
2020-01-01 15:00:00+00:00,35.98,5621.95,3863.625,49847.975,97.825
2020-01-01 16:00:00+00:00,40.4,6695.2,4018.75,53010.3,0.0
2020-01-01 17:00:00+00:00,44.05,7761.425,4135.525000000001,54399.475,0.0
2020-01-01 18:00:00+00:00,43.15,8551.425,4108.174999999999,53892.675,0.0
2020-01-01 19:00:00+00:00,43.45,8805.4,4012.55,52231.225,0.0
2020-01-01 20:00:00+00:00,40.68,8740.3,3997.225,50896.625,0.0
2020-01-01 21:00:00+00:00,40.27,8528.575,4140.75,50285.575,0.0
2020-01-01 22:00:00+00:00,34.85,8378.775,4403.375,47592.125,0.0
2020-01-01 23:00:00+00:00,35.4,7172.3,4101.325,45959.525,0.0
2020-01-02 00:00:00+00:00,31.98,7019.9,4364.0,44370.6,0.0
2020-01-02 01:00:00+00:00,30.5,7164.675,4615.35,44016.25,0.0
2020-01-02 02:00:00+00:00,28.79,7311.35,4762.5,44305.075,0.0
2020-01-02 03:00:00+00:00,28.42,7580.125,4852.65,45325.975,0.0
2020-01-02 04:00:00+00:00,28.75,7995.725,4946.925,48351.45,0.0
2020-01-02 05:00:00+00:00,34.16,8565.025,5101.45,54601.175,0.0
2020-01-02 06:00:00+00:00,42.07,9079.675,5353.225,59518.875,0.0
2020-01-02 07:00:00+00:00,44.89,9535.3,5563.8,61620.025,391.225
2020-01-02 08:00:00+00:00,45.26,9847.3,5735.9,62165.125,2876.3500000000004
2020-01-02 09:00:00+00:00,45.57,9673.925,5884.85,62671.6,5741.225
2020-01-02 10:00:00+00:00,45.09,9287.7,5982.825,63003.4,7681.2
2020-01-02 11:00:00+00:00,45.16,9091.85,6052.15,62727.875,8206.45
2020-01-02 12:00:00+00:00,44.9,9192.025,6121.4,62014.025,7236.825
2020-01-02 13:00:00+00:00,44.06,9855.4,6165.85,61359.25,4883.35
2020-01-02 14:00:00+00:00,44.84,11091.475,6201.525,61067.05,1825.775
2020-01-02 15:00:00+00:00,44.4,12814.025,6266.85,61625.075,83.27499999999999
2020-01-02 16:00:00+00:00,46.05,14790.65,6312.525,63771.625,0.0
2020-01-02 17:00:00+00:00,46.72,16687.075,6346.775,63687.3,0.0
2020-01-02 18:00:00+00:00,45.26,18198.4,6365.625,62363.7,0.0
2020-01-02 19:00:00+00:00,39.32,19420.9,6413.35,59278.725,0.0
2020-01-02 20:00:00+00:00,34.06,20518.475,6451.0,56526.2,0.0
2020-01-02 21:00:00+00:00,32.22,21274.375,6483.1,54356.9,0.0
2020-01-02 22:00:00+00:00,24.99,22175.600000000002,6456.0,51197.15,0.0
2020-01-02 23:00:00+00:00,21.47,21802.85,6520.325,49744.075,0.0
2020-01-03 00:00:00+00:00,13.04,22811.525,6536.474999999999,47964.274999999994,0.0
2020-01-03 01:00:00+00:00,1.53,23684.275,6545.875,47150.9,0.0
2020-01-03 02:00:00+00:00,0.14,24459.4,6556.575,47248.0,0.0
2020-01-03 03:00:00+00:00,0.85,25152.725,6562.65,47940.75,0.0
2020-01-03 04:00:00+00:00,9.92,25690.775,6571.025,50198.15,0.0
2020-01-03 05:00:00+00:00,24.48,26453.975,6531.9,55410.025,0.0
2020-01-03 06:00:00+00:00,26.68,26982.275,6472.575,60981.274999999994,0.0
2020-01-03 07:00:00+00:00,28.81,27404.975,6292.975,63788.05,229.95
2020-01-03 08:00:00+00:00,29.28,27739.9,5997.2,63986.95,1513.375
2020-01-03 09:00:00+00:00,28.85,27927.8,5494.225,64471.575,3035.3999999999996
2020-01-03 10:00:00+00:00,31.8,27893.625,4893.8,64675.75,4017.625
2020-01-03 11:00:00+00:00,37.94,27609.7,4556.425,64243.15,4029.3
2020-01-03 12:00:00+00:00,37.9,27007.65,4740.1,62840.6,3219.1
2020-01-03 13:00:00+00:00,38.11,26602.8,4969.65,61574.125,1957.9
2020-01-03 14:00:00+00:00,37.91,26627.225,5187.575,61101.025,721.55
2020-01-03 15:00:00+00:00,38.44,26565.775,5440.175,61739.95,42.324999999999996
2020-01-03 16:00:00+00:00,40.47,26093.05,5501.9,63734.25,0.0
2020-01-03 17:00:00+00:00,41.35,25615.625,5516.925,63523.6,0.0
2020-01-03 18:00:00+00:00,33.37,24925.35,5624.25,62015.225,0.0
2020-01-03 19:00:00+00:00,28.89,24003.05,5896.65,58660.8,0.0
2020-01-03 20:00:00+00:00,27.7,23518.525,6137.55,55847.65,0.0
2020-01-03 21:00:00+00:00,25.7,23413.975,6327.5,54251.675,0.0
2020-01-03 22:00:00+00:00,22.04,23673.525,6441.9,51316.45,0.0
2020-01-03 23:00:00+00:00,22.9,23089.675000000003,6450.85,50781.825,0.0
2020-01-04 00:00:00+00:00,15.95,22769.300000000003,6489.425,49027.65,0.0
2020-01-04 01:00:00+00:00,16.63,22915.675,6504.35,48086.0,0.0
2020-01-04 02:00:00+00:00,6.45,23263.45,6509.175,47805.4,0.0
2020-01-04 03:00:00+00:00,3.83,23989.175,6499.9,48130.524999999994,0.0
2020-01-04 04:00:00+00:00,0.12,25125.800000000003,6489.85,48134.675,0.0
2020-01-04 05:00:00+00:00,0.07,26628.2,6440.275,48373.9,0.0
2020-01-04 06:00:00+00:00,19.07,27965.05,6417.1,50440.8,0.0
2020-01-04 07:00:00+00:00,17.49,29105.675,6421.5,53693.625,135.1
2020-01-04 08:00:00+00:00,23.98,30217.574999999997,6413.5,55935.8,1086.175
2020-01-04 09:00:00+00:00,8.8,31376.225,6356.825,56891.95,2343.725
2020-01-04 10:00:00+00:00,17.95,32387.125,6228.525,57753.525,3025.675
2020-01-04 11:00:00+00:00,19.5,33074.475,6008.825000000001,57847.7,3055.4
2020-01-04 12:00:00+00:00,13.74,33169.775,5880.3,56547.45,2646.1
2020-01-04 13:00:00+00:00,17.42,32678.075,5814.525,55404.1,1743.075
2020-01-04 14:00:00+00:00,20.38,31680.55,5694.9,55325.075,664.175
2020-01-04 15:00:00+00:00,25.08,30263.675,5420.875,56595.35,48.425
2020-01-04 16:00:00+00:00,28.88,28570.55,5001.1,59518.85,0.0
2020-01-04 17:00:00+00:00,32.02,26846.575,4463.8,60222.075,0.0
2020-01-04 18:00:00+00:00,35.35,24973.949999999997,3790.75,58825.7,0.0
2020-01-04 19:00:00+00:00,29.98,22944.45,3126.775,55773.0,0.0
2020-01-04 20:00:00+00:00,34.46,20783.1,2538.05,53624.975,0.0
2020-01-04 21:00:00+00:00,39.75,18373.225,2044.6,53088.025,0.0
2020-01-04 22:00:00+00:00,37.95,16192.325,1642.275,50492.524999999994,0.0
2020-01-04 23:00:00+00:00,33.1,14233.125,1515.65,42798.825,0.0
2020-01-05 00:00:00+00:00,32.28,12209.075,1282.5,40945.625,0.0
2020-01-05 01:00:00+00:00,31.18,10545.55,1135.8,40212.075,0.0
2020-01-05 02:00:00+00:00,30.1,9015.825,1103.9499999999998,39791.45,0.0
2020-01-05 03:00:00+00:00,29.96,7804.825,1265.6,39998.95,0.0
2020-01-05 04:00:00+00:00,29.88,7109.9,1625.95,39788.225,0.0
2020-01-05 05:00:00+00:00,30.38,6680.425,2079.1,39405.575,0.0
2020-01-05 06:00:00+00:00,31.15,6436.35,2594.025,41247.15,0.0
2020-01-05 07:00:00+00:00,32.09,6516.825,3126.55,43608.825000000004,307.25
2020-01-05 08:00:00+00:00,34.27,6607.85,3602.2749999999996,46389.55,2083.8
2020-01-05 09:00:00+00:00,37.53,6470.3,4016.125,48607.15,4257.775
2020-01-05 10:00:00+00:00,38.99,6326.625,4442.3,50764.225,5727.825
2020-01-05 11:00:00+00:00,38.15,6316.4,4848.175,50716.175,6087.75
2020-01-05 12:00:00+00:00,35.37,6512.8,5114.225,49709.575,5309.125
2020-01-05 13:00:00+00:00,34.44,7065.625,5274.05,48855.325,3605.075
2020-01-05 14:00:00+00:00,36.1,7809.925,5418.025,48355.350000000006,1425.6999999999998
2020-01-05 15:00:00+00:00,40.59,8737.5,5575.150000000001,49781.25,94.725
2020-01-05 16:00:00+00:00,44.68,9877.425,5740.675,52859.05,0.0
2020-01-05 17:00:00+00:00,46.16,11030.35,5900.15,53877.575,0.0
2020-01-05 18:00:00+00:00,44.62,11928.875,6072.425,52970.2,0.0
2020-01-05 19:00:00+00:00,39.5,12483.775,6176.475,51088.4,0.0
2020-01-05 20:00:00+00:00,35.76,12768.975,6208.175,49584.125,0.0
2020-01-05 21:00:00+00:00,36.49,12720.05,6210.475,49638.2,0.0
2020-01-05 22:00:00+00:00,30.49,12606.2,6156.925,46896.175,0.0
2020-01-05 23:00:00+00:00,29.16,12380.65,5862.375,44345.625,0.0
2020-01-06 00:00:00+00:00,29.0,12196.175,5863.55,42386.9,0.0
2020-01-06 01:00:00+00:00,29.08,12060.6,5814.625,41503.775,0.0
2020-01-06 02:00:00+00:00,27.72,11768.825,5769.1,41637.25,0.0
2020-01-06 03:00:00+00:00,27.03,11289.35,5682.5,42631.875,0.0
2020-01-06 04:00:00+00:00,28.98,10667.0,5535.8,44830.575,0.0
2020-01-06 05:00:00+00:00,33.18,10101.95,5397.1,49998.8,0.0
2020-01-06 06:00:00+00:00,43.13,9704.075,5327.35,54291.875,0.0
2020-01-06 07:00:00+00:00,44.52,9463.45,5275.1,56094.0,248.9
2020-01-06 08:00:00+00:00,44.96,9362.375,5269.925,57888.2,2031.7
2020-01-06 09:00:00+00:00,44.0,9016.825,5384.05,59280.2,4694.375
2020-01-06 10:00:00+00:00,42.46,8330.475,5515.75,60513.625,6678.3
2020-01-06 11:00:00+00:00,41.3,7633.425,5602.625,60605.45,7462.075
2020-01-06 12:00:00+00:00,40.51,7115.275,5697.35,60354.025,7006.6
2020-01-06 13:00:00+00:00,41.22,6902.675,5802.625,59920.05,5132.175
2020-01-06 14:00:00+00:00,43.28,7061.45,5852.5,59149.2,2163.65
2020-01-06 15:00:00+00:00,43.68,7852.575,5846.775,60167.225,160.675
2020-01-06 16:00:00+00:00,47.9,9191.525,5832.475,62584.5,0.0
2020-01-06 17:00:00+00:00,48.91,10616.075,5835.525000000001,62750.85,0.0
2020-01-06 18:00:00+00:00,45.04,11805.625,5802.225,61337.6,0.0
2020-01-06 19:00:00+00:00,40.28,12621.55,5725.4,58165.05,0.0
2020-01-06 20:00:00+00:00,33.89,13350.15,5610.85,55313.625,0.0
2020-01-06 21:00:00+00:00,33.58,13914.125,5483.4,53688.525,0.0
2020-01-06 22:00:00+00:00,32.41,14355.275000000001,5245.35,50108.125,0.0
2020-01-06 23:00:00+00:00,30.75,15509.7,5262.225,46734.95,0.0
2020-01-07 00:00:00+00:00,31.03,15649.55,5038.975,44601.1,0.0
2020-01-07 01:00:00+00:00,29.88,15964.075,4712.475,44264.450000000004,0.0
2020-01-07 02:00:00+00:00,29.0,16331.075,4425.65,44571.425,0.0
2020-01-07 03:00:00+00:00,29.65,16339.675,4311.95,45977.95,0.0
2020-01-07 04:00:00+00:00,31.78,16114.7,4202.95,48992.95,0.0
2020-01-07 05:00:00+00:00,40.87,15811.55,3965.3,55661.875,0.0
2020-01-07 06:00:00+00:00,49.01,15169.1,3651.225,60697.925,0.0
2020-01-07 07:00:00+00:00,51.09,14434.7,3109.2999999999997,62614.3,114.75
2020-01-07 08:00:00+00:00,51.12,13548.1,2581.65,63629.325,891.75
2020-01-07 09:00:00+00:00,49.83,12432.55,2401.025,64271.875,2008.8
2020-01-07 10:00:00+00:00,49.16,11296.475,2731.075,65066.15,2898.225
2020-01-07 11:00:00+00:00,48.43,10479.425,3523.75,64907.65,3287.45
2020-01-07 12:00:00+00:00,47.99,10112.125,4412.825,64592.975,3052.975
2020-01-07 13:00:00+00:00,47.41,10377.55,5103.025,63483.0,2199.2
2020-01-07 14:00:00+00:00,45.87,11091.875,5474.6,62951.275,891.475
2020-01-07 15:00:00+00:00,45.9,12124.05,5667.625,63505.3,70.25
2020-01-07 16:00:00+00:00,47.96,13368.625,5794.575,65556.275,0.0
2020-01-07 17:00:00+00:00,48.11,14614.05,5878.825,65449.85,0.0
2020-01-07 18:00:00+00:00,43.63,15909.675,5916.325,64029.925,0.0
2020-01-07 19:00:00+00:00,33.6,17379.625,5940.95,60563.05,0.0
2020-01-07 20:00:00+00:00,32.93,18998.35,6000.875,57547.625,0.0
2020-01-07 21:00:00+00:00,31.29,20388.175,6111.525,55459.65,0.0
2020-01-07 22:00:00+00:00,26.28,21765.1,6142.6,51742.8,0.0
2020-01-07 23:00:00+00:00,18.95,24315.675,6432.2,49635.9,0.0
2020-01-08 00:00:00+00:00,4.96,25098.25,6449.225,47708.175,0.0
2020-01-08 01:00:00+00:00,0.1,25622.925000000003,6457.325,46991.65,0.0
2020-01-08 02:00:00+00:00,0.11,25875.300000000003,6456.575,47203.8,0.0
2020-01-08 03:00:00+00:00,1.75,25824.45,6479.45,48261.0,0.0
2020-01-08 04:00:00+00:00,20.74,25602.6,6505.15,51117.25,0.0
2020-01-08 05:00:00+00:00,25.57,25492.625,6452.475,58199.9,0.0
2020-01-08 06:00:00+00:00,32.47,25105.775,6373.25,63302.825,0.0
2020-01-08 07:00:00+00:00,33.07,24456.3,6173.9,65309.02500000001,132.625
2020-01-08 08:00:00+00:00,33.05,23675.75,5825.125,65717.7,777.0
2020-01-08 09:00:00+00:00,34.18,22682.4,5366.4,66282.25,1549.175
2020-01-08 10:00:00+00:00,39.63,21492.7,4884.725,66699.475,2064.825
2020-01-08 11:00:00+00:00,41.35,20327.15,4335.3,66047.825,2171.9
2020-01-08 12:00:00+00:00,44.83,19024.575,3795.75,65167.3,1795.775
2020-01-08 13:00:00+00:00,46.04,17488.125,3276.275,64295.950000000004,1172.425
2020-01-08 14:00:00+00:00,46.33,16004.825,2815.5,64137.05,473.25
2020-01-08 15:00:00+00:00,47.9,14754.2,2471.275,64679.525,41.699999999999996
2020-01-08 16:00:00+00:00,51.21,13738.825,2203.525,66677.1,0.0
2020-01-08 17:00:00+00:00,55.92,12830.75,1974.675,66765.9,0.0
2020-01-08 18:00:00+00:00,53.69,11909.5,1766.325,65617.7,0.0
2020-01-08 19:00:00+00:00,48.1,10997.775,1568.975,62158.875,0.0
2020-01-08 20:00:00+00:00,44.92,10001.825,1373.5,59102.025,0.0
2020-01-08 21:00:00+00:00,41.67,9029.3,1170.9,56838.05,0.0
2020-01-08 22:00:00+00:00,39.41,8362.775,996.025,53016.8,0.0
2020-01-08 23:00:00+00:00,34.08,6838.075,935.85,51431.25,0.0
2020-01-09 00:00:00+00:00,32.2,6073.0,726.625,49556.6,0.0
2020-01-09 01:00:00+00:00,32.56,5807.7,587.35,48604.575,0.0
2020-01-09 02:00:00+00:00,32.35,5876.875,538.025,48520.025,0.0
2020-01-09 03:00:00+00:00,29.0,6373.625,568.925,49513.5,0.0
2020-01-09 04:00:00+00:00,30.86,7493.15,750.025,52310.575,0.0
2020-01-09 05:00:00+00:00,38.95,9060.85,1251.575,58818.075,0.0
2020-01-09 06:00:00+00:00,46.86,11011.6,2209.35,63655.5,0.0
2020-01-09 07:00:00+00:00,47.92,13575.65,3420.6000000000004,65540.525,132.25
2020-01-09 08:00:00+00:00,45.68,16373.5,4462.9,66262.925,887.0
2020-01-09 09:00:00+00:00,43.61,18661.075,5107.15,66752.175,1901.975
2020-01-09 10:00:00+00:00,40.0,20470.15,5416.2,67338.975,2702.375
2020-01-09 11:00:00+00:00,37.06,21957.0,5609.8,67269.375,3030.2
2020-01-09 12:00:00+00:00,33.45,22903.375,5776.174999999999,66850.325,2803.775
2020-01-09 13:00:00+00:00,32.2,23317.025,5885.549999999999,65876.375,1966.975
2020-01-09 14:00:00+00:00,31.86,23415.625,5950.575,65326.325,819.2
2020-01-09 15:00:00+00:00,32.59,23185.45,6009.975,65565.8,81.175
2020-01-09 16:00:00+00:00,42.85,22741.6,5904.55,67552.625,0.0
2020-01-09 17:00:00+00:00,41.73,22237.275,5692.525,67860.275,0.0
2020-01-09 18:00:00+00:00,40.31,21706.0,5316.075,66664.725,0.0
2020-01-09 19:00:00+00:00,32.96,21348.05,4893.1,63512.325,0.0
2020-01-09 20:00:00+00:00,30.72,21103.25,4606.75,60660.625,0.0
2020-01-09 21:00:00+00:00,31.02,20924.425,4231.325,58603.3,0.0
2020-01-09 22:00:00+00:00,29.14,21214.025,3795.3,55044.875,0.0
2020-01-09 23:00:00+00:00,26.94,21173.325,2827.35,50055.65,0.0
2020-01-10 00:00:00+00:00,26.59,21513.925,2345.025,48196.0,0.0
2020-01-10 01:00:00+00:00,25.81,22354.025,2202.075,47326.1,0.0
2020-01-10 02:00:00+00:00,25.89,23394.25,2224.825,47392.125,0.0
2020-01-10 03:00:00+00:00,26.2,24302.75,2422.7,48392.899999999994,0.0
2020-01-10 04:00:00+00:00,26.95,25276.05,2882.525,50886.274999999994,0.0
2020-01-10 05:00:00+00:00,28.95,26030.875,3441.95,57047.875,0.0
2020-01-10 06:00:00+00:00,43.29,25805.5,3986.15,62647.1,0.0
2020-01-10 07:00:00+00:00,47.4,25128.925,4659.95,65252.125,355.32500000000005
2020-01-10 08:00:00+00:00,40.63,24497.95,5322.325,66152.45,2280.475
2020-01-10 09:00:00+00:00,36.26,24253.725,5852.5,66736.375,4593.6
2020-01-10 10:00:00+00:00,32.05,24453.975,6117.3,67197.525,6123.05
2020-01-10 11:00:00+00:00,28.64,24943.95,6117.85,67034.55,6410.099999999999
2020-01-10 12:00:00+00:00,28.45,25524.75,6008.2,65668.025,5407.450000000001
2020-01-10 13:00:00+00:00,28.23,25923.8,5907.65,64279.924999999996,3591.8999999999996
2020-01-10 14:00:00+00:00,29.56,26042.175,5751.25,63553.075,1461.725
2020-01-10 15:00:00+00:00,36.43,25521.325,5430.975,63513.425,116.775
2020-01-10 16:00:00+00:00,45.0,24396.4,4887.15,64881.95,0.0
2020-01-10 17:00:00+00:00,46.73,23083.325,4051.625,64822.025,0.0
2020-01-10 18:00:00+00:00,45.94,21774.3,3243.375,63448.925,0.0
2020-01-10 19:00:00+00:00,45.02,20399.875,2778.025,60127.125,0.0
2020-01-10 20:00:00+00:00,41.29,18838.9,2626.375,57149.775,0.0
2020-01-10 21:00:00+00:00,39.9,17231.3,2771.3,55315.375,0.0
2020-01-10 22:00:00+00:00,33.04,16054.875,2966.5,51966.25,0.0
2020-01-10 23:00:00+00:00,35.01,15097.95,2000.15,49893.9,0.0
2020-01-11 00:00:00+00:00,34.0,13921.65,2556.25,47803.625,0.0
2020-01-11 01:00:00+00:00,31.43,12727.475,3343.45,46745.375,0.0
2020-01-11 02:00:00+00:00,29.14,11659.775,4077.25,46318.975,0.0
2020-01-11 03:00:00+00:00,28.86,10612.0,4597.725,46506.65,0.0
2020-01-11 04:00:00+00:00,28.43,9919.125,5030.975,46861.025,0.0
2020-01-11 05:00:00+00:00,29.22,9618.675,5374.349999999999,48567.275,0.0
2020-01-11 06:00:00+00:00,31.22,9577.7,5601.2,51899.85,0.0
2020-01-11 07:00:00+00:00,35.68,9801.650000000001,5675.175,55240.5,287.75
2020-01-11 08:00:00+00:00,40.0,10152.425,5712.25,57955.2,2230.8
2020-01-11 09:00:00+00:00,38.01,10510.975,5754.525,59407.475,4975.325000000001
2020-01-11 10:00:00+00:00,37.9,11018.4,5821.174999999999,60441.9,6961.15
2020-01-11 11:00:00+00:00,36.08,11692.175,5938.475,60333.4,7767.35
2020-01-11 12:00:00+00:00,32.96,12384.0,5974.2,58848.45,7017.025
2020-01-11 13:00:00+00:00,31.1,13191.7,6053.875,57533.575,4977.2
2020-01-11 14:00:00+00:00,32.25,14326.25,6178.325,57015.125,2218.925
2020-01-11 15:00:00+00:00,32.55,15780.175,6268.725,57754.775,244.17499999999998
2020-01-11 16:00:00+00:00,40.56,17495.975,6310.9,60163.275,0.0
2020-01-11 17:00:00+00:00,34.46,19204.225,6345.675,60709.0,0.0
2020-01-11 18:00:00+00:00,30.01,20534.6,6355.65,59215.75,0.0
2020-01-11 19:00:00+00:00,25.74,21394.325,6351.825,55913.85,0.0
2020-01-11 20:00:00+00:00,23.73,21899.025,6347.05,53401.075,0.0
2020-01-11 21:00:00+00:00,25.24,22000.075,6383.35,52404.45,0.0
2020-01-11 22:00:00+00:00,20.96,22045.85,6374.675,49547.225,0.0
2020-01-11 23:00:00+00:00,22.82,23007.15,6314.575,45717.399999999994,0.0
2020-01-12 00:00:00+00:00,19.37,23078.5,6325.549999999999,43580.35,0.0
2020-01-12 01:00:00+00:00,18.36,23310.175,6344.35,42817.75,0.0
2020-01-12 02:00:00+00:00,18.34,23489.8,6355.2,42512.125,0.0
2020-01-12 03:00:00+00:00,18.16,23674.5,6359.95,42683.125,0.0
2020-01-12 04:00:00+00:00,18.66,23998.6,6343.05,42649.775,0.0
2020-01-12 05:00:00+00:00,17.39,24649.625,6226.225,42844.75,0.0
2020-01-12 06:00:00+00:00,18.22,25173.9,6119.7,45126.85,0.0
2020-01-12 07:00:00+00:00,22.1,25666.925,5991.925,47729.075,385.25
2020-01-12 08:00:00+00:00,23.93,26038.05,5850.424999999999,50657.075,2318.15
2020-01-12 09:00:00+00:00,24.23,26086.05,5708.225,53106.15,4873.925
2020-01-12 10:00:00+00:00,24.84,25881.775,5567.2,55160.7,6792.975
2020-01-12 11:00:00+00:00,24.45,25853.05,5398.225,55123.925,7355.05
2020-01-12 12:00:00+00:00,22.46,26131.675,5235.175,53980.125,6476.075
2020-01-12 13:00:00+00:00,20.05,26732.6,4967.1,52994.15,4423.975
2020-01-12 14:00:00+00:00,21.48,27519.925,4688.675,52363.75,1985.5
2020-01-12 15:00:00+00:00,24.71,28246.3,4588.7,53477.95,252.375
2020-01-12 16:00:00+00:00,26.5,28398.05,4495.05,56514.0,0.0
2020-01-12 17:00:00+00:00,26.68,28126.125,4461.1,57927.925,0.0
2020-01-12 18:00:00+00:00,26.16,27485.5,4570.875,56870.75,0.0
2020-01-12 19:00:00+00:00,25.62,26527.475,4562.25,54661.15,0.0
2020-01-12 20:00:00+00:00,25.53,25383.8,4445.0,52963.2,0.0
2020-01-12 21:00:00+00:00,27.1,23636.3,4295.6,52952.425,0.0
2020-01-12 22:00:00+00:00,26.14,21807.125,4126.425,50154.675,0.0
2020-01-12 23:00:00+00:00,21.82,22465.675,4736.85,46102.9,0.0
2020-01-13 00:00:00+00:00,23.98,20125.75,4231.75,44057.325,0.0
2020-01-13 01:00:00+00:00,25.23,17984.1,3800.175,43633.575,0.0
2020-01-13 02:00:00+00:00,24.85,15986.25,3424.525,44084.5,0.0
2020-01-13 03:00:00+00:00,25.01,14168.625,3335.65,45893.2,0.0
2020-01-13 04:00:00+00:00,27.32,12981.45,3495.55,49343.2,0.0
2020-01-13 05:00:00+00:00,38.4,12273.875,3530.2,57260.525,0.0
2020-01-13 06:00:00+00:00,48.64,11736.1,3601.775,63283.575,0.0
2020-01-13 07:00:00+00:00,52.93,11731.0,3179.725,66052.35,191.2
2020-01-13 08:00:00+00:00,49.89,11113.075,3762.575,66554.7,1280.725
2020-01-13 09:00:00+00:00,48.89,10679.0,3901.3,67565.675,2818.5
2020-01-13 10:00:00+00:00,47.2,10158.975,4031.675,67882.225,4088.9
2020-01-13 11:00:00+00:00,47.0,9675.7,4270.45,67847.925,4705.1
2020-01-13 12:00:00+00:00,45.95,8991.725,4597.424999999999,67996.5,4456.1
2020-01-13 13:00:00+00:00,45.0,8381.075,4844.925,67259.05,3307.55
2020-01-13 14:00:00+00:00,45.96,8357.55,5031.450000000001,66249.3,1509.975
2020-01-13 15:00:00+00:00,43.68,9492.675,5142.425,66072.45,186.225
2020-01-13 16:00:00+00:00,46.81,11729.825,5215.950000000001,67729.725,0.0
2020-01-13 17:00:00+00:00,45.27,14384.65,5328.924999999999,67717.7,0.0
2020-01-13 18:00:00+00:00,42.55,16859.55,5419.225,66262.075,0.0
2020-01-13 19:00:00+00:00,31.9,18829.325,5461.075,62642.55,0.0
2020-01-13 20:00:00+00:00,26.68,20678.2,5461.275,60003.625,0.0
2020-01-13 21:00:00+00:00,25.96,22332.825,5550.375,57805.125,0.0
2020-01-13 22:00:00+00:00,23.4,24075.575,5627.875,53953.175,0.0
2020-01-13 23:00:00+00:00,22.59,27129.7,5240.325,52235.65,0.0
2020-01-14 00:00:00+00:00,16.5,28881.45,5370.125,50292.8,0.0
2020-01-14 01:00:00+00:00,8.89,30574.175,5468.65,49583.100000000006,0.0
2020-01-14 02:00:00+00:00,1.52,32032.45,5547.025,49795.275,0.0
2020-01-14 03:00:00+00:00,1.58,33234.425,5558.25,51110.2,0.0
2020-01-14 04:00:00+00:00,14.13,34056.85,5555.675,54133.75,0.0
2020-01-14 05:00:00+00:00,25.23,34831.65,5413.875,61240.35,0.0
2020-01-14 06:00:00+00:00,27.13,34992.175,5446.25,66763.85,0.0
2020-01-14 07:00:00+00:00,28.55,34849.075000000004,5197.3,68986.85,416.625
2020-01-14 08:00:00+00:00,27.68,34319.6,5232.55,70107.7,2261.575
2020-01-14 09:00:00+00:00,27.42,33432.25,5366.65,71376.425,4361.65
2020-01-14 10:00:00+00:00,27.43,32167.8,5361.15,71911.45,5786.0
2020-01-14 11:00:00+00:00,27.68,30830.45,5386.175,71622.175,6241.45
2020-01-14 12:00:00+00:00,29.56,29808.525,5372.275,71570.9,5621.225
2020-01-14 13:00:00+00:00,32.0,28810.35,5362.375,70854.5,4050.7
2020-01-14 14:00:00+00:00,32.74,28001.85,5359.05,69938.575,1925.65
2020-01-14 15:00:00+00:00,30.38,28143.025,5568.575,69646.75,299.175
2020-01-14 16:00:00+00:00,38.0,29421.0,5540.825,71046.075,0.0
2020-01-14 17:00:00+00:00,30.32,31013.825,5483.1,71011.0,0.0
2020-01-14 18:00:00+00:00,26.94,32515.525,5444.775,69503.325,0.0
2020-01-14 19:00:00+00:00,25.74,34000.8,5413.45,65657.7,0.0
2020-01-14 20:00:00+00:00,23.82,35129.975,5025.8,62890.6,0.0
2020-01-14 21:00:00+00:00,22.3,35393.25,4686.6,60663.025,0.0
2020-01-14 22:00:00+00:00,12.4,35482.55,4441.05,56638.1,0.0
2020-01-14 23:00:00+00:00,16.14,35390.7,4118.525,54244.575,0.0
2020-01-15 00:00:00+00:00,5.06,34978.975,4072.25,51947.774999999994,0.0
2020-01-15 01:00:00+00:00,0.11,34462.55,4162.4,51136.35,0.0
